Name,customerID,Number of Calls,Voice National (Min.),Voice International (Min.),Voice Roaming (Min.),Voice Premium (Min.),Data National (MB),Data Roaming (MB),Data Premium (MB),Messaging National,Messaging International,Messaging Roaming,Messaging Premium,"Voice National Charge
ex. Tax
(GBP)","Voice International Charge
ex. Tax
(GBP)","Voice Roaming Charge
ex. Tax
(GBP)","Voice Premium Charge
ex. Tax
(GBP)","Data National Charge
ex. Tax
(GBP)","Data Roaming Charge
ex. Tax
(GBP)","Data Premium Charge
ex. Tax
(GBP)","Messaging National Charge
ex. Tax
(GBP)","Messaging International Charge
ex. Tax
(GBP)","Messaging Roaming Charge
ex. Tax
(GBP)","Messaging Premium Charge
ex. Tax
(GBP)","Usage Charge Total
ex. Tax
(GBP)","Recurring Charge
ex. Tax
(GBP)","Device Fee
ex. Tax
(GBP)","Daily Roaming Fee
ex. Tax
(GBP)","Monthly Roaming Fee
ex. Tax
(GBP)","Adjustments
ex. Tax
(GBP)","Credit
ex. Tax
(GBP)","Total
Taxable
(GBP)","Total
Non-Taxable
(GBP)","Total
ex. Tax
(GBP)","Total Tax
(GBP)","Total
(GBP)"
EVAN,4010-YLMVT,9,20,0,0,0,62.34,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.12,0,0,0,0,5.28,0,5.28,1.06,6.34
EVE,5419-CONWX,137,759,0,0,0,"26,553.80",0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.73,3.33,0,0,0,0,30.06,0,30.06,6.01,36.07
EVELINA,2150-WLKUW,1,2,0,0,0,122.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
EVELYNE,6171-ZTVYB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
EVGENY,7011-CVEUC,29,22,0,0,0,"1,483.67",0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.33,0,0,0,0,12.83,0,12.83,2.57,15.4
EVIE,9091-WTUUY,53,47,0,0,0,"2,371.38",0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,3.33,0,0,0,0,14.99,0,14.99,3,17.99
EVIJA,3665-JATSN,5,37,0,0,0,50.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
EWA,7716-YTYHG,44,160,0,0,0,"9,997.51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.98,3.33,0,0,0,0,19.31,0,19.31,3.86,23.17
EWAN,6176-YJWAS,26,55,0,0,0,"6,606.07",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.69,3.33,0,0,0,0,18.02,0,18.02,3.6,21.62
EXERCISE,9822-WMWVG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
EYMEN,8752-IMQOS,38,92,0,0,0,"5,755.46",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,3.33,0,0,0,0,16.72,0,16.72,3.34,20.06
EYO,3658-QQJYD,1,0,0,0,0,"2,240.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,3.33,0,0,0,0,14.99,0,14.99,3,17.99
EYTAN,5702-SKUOB,22,46,0,0,0,"7,021.95",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.69,3.33,0,0,0,0,18.02,0,18.02,3.6,21.62
FABIAN,4952-YSOGZ,3,0,0,2,0,0,"9,417.38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.98,3.33,25,0,0,0,44.31,0,44.31,8.86,53.17
FABIAN-OFFORI,8547-NSBBO,64,347,0,0,3,116.07,0,0,1,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0.37,2.16,3.33,0,0,0,0,5.86,0,5.86,1.17,7.03
FABIEN,8204-YJCLA,0,0,0,0,0,11.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FABIO,7596-IIWYC,63,215,0,0,0,715.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
FABRIZIA,0877-SDMBN,7,66,0,0,0,379.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,3.33,0,0,0,0,7.22,0,7.22,1.44,8.66
FADWA,4355-HBJHH,3,51,0,0,0,"1,507.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.33,0,0,0,0,12.83,0,12.83,2.57,15.4
FAHAD,0897-FEGMU,27,205,0,0,0,853.48,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
FAHD,2348-KCJLT,20,84,2,0,0,"3,212.73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,3.33,0,0,0,0,14.99,0,14.99,3,17.99
FAHEEM,3920-HIHMQ,17,62,0,0,0,"14,415.41",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,19.98,3.33,0,0,0,0,23.41,0,23.41,4.68,28.09
FAHIM,8590-YFFQO,1,3,0,0,0,"1,583.39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.33,0,0,0,0,12.83,0,12.83,2.57,15.4
FAHIMA,7590-VHVEG,12,16,0,0,0,203.37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FAHMID,4559-UWIHT,40,33,0,0,0,"53,126.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.28,3.33,0,0,0,0,47.61,0,47.61,9.52,57.13
FAISAL,0458-HEUZG,30,99,0,0,0,"20,137.86",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.68,3.33,0,0,0,0,26.01,0,26.01,5.2,31.21
FAITH,3717-OEAUQ,0,0,0,0,0,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1.5,0,1.5,0.3,1.8
FAIYSAL,5322-TEUJK,0,0,0,0,0,649.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
FAIZ,1077-HUUJM,2,2,0,0,0,20.79,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FAIZA,2845-HSJCY,4,12,0,0,0,673.43,0,0,1,0,0,1,0,0.01,0,0,0,0,0,0,0,0,0.1,0.11,0,1.18,0,0,0,0,1.29,0,1.29,0.26,1.54
FAIZAL,8092-NLTGF,31,146,0,0,0,"1,993.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.33,0,0,0,0,12.83,0,12.83,2.57,15.4
FAIZAN,0186-CAERR,3,1,0,0,0,"1,071.06",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.33,0,0,0,0,12.83,0,12.83,2.57,15.4
FALAQUE,8450-JOVAH,30,14,70,28,0,"1,673.10","1,446.64",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,3.33,60,0,0,0,74.99,0,74.99,15,89.99
FALLON,5223-UZAVK,0,0,0,0,0,"1,842.68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.33,0,0,0,0,12.83,0,12.83,2.57,15.4
FALON,6967-QIQRV,0,0,0,0,0,18.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.12,0,0,0,0,5.28,0,5.28,1.06,6.34
FANGFEI,5642-MHDQT,0,0,0,0,0,"12,135.51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.28,3.33,0,0,0,0,20.61,0,20.61,4.12,24.73
FANSHUN,1347-KTTTA,28,208,0,0,0,"20,221.35",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,22.68,3.33,0,0,0,0,26.11,0,26.11,5.22,31.33
FARAH,0956-SYCWG,2,1,0,0,0,33.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FARAN,1096-ADRUX,0,0,0,0,0,8.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,1.72,0,1.72,0.34,2.06
FARANGIZ,7927-AUXBZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
FARAZ,0572-ZJKLT,39,16,0,0,0,"4,216.36",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,3.33,0,0,0,0,16.72,0,16.72,3.34,20.06
FARDOSA,1849-RJYIG,21,48,1,0,0,"1,491.17",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.33,0,0,0,0,12.83,0,12.83,2.57,15.4
FARHAAN,8200-KLNYW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARHAN,1304-SEGFY,25,68,0,0,0,"6,975.80",0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.69,3.33,0,0,0,0,18.02,0,18.02,3.6,21.62
FARHIN,0319-QZTCO,17,18,0,0,0,"19,147.15",134.27,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5.31,5.31,22.68,3.33,0,0,0,0,31.32,0,31.32,6.26,37.58
FARHINE,9667-EQRXU,1,0,0,0,0,420.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,3.33,0,0,0,0,7.22,0,7.22,1.44,8.66
FARIZA,4959-JOSRX,19,18,0,0,0,180.04,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FARKHAD,5136-GFPMB,4,2,0,0,0,760.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
FARNAZ,7622-FWGEW,5,127,0,0,0,52.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FARSHID,9154-QDGTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
FARZEEN,2361-UPSND,0,0,0,0,0,20.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,2.26,0,2.26,0.45,2.71
FARZEENA,0071-NDAFP,4,8,0,0,0,24.65,96.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FATEH,7460-ITWWP,12,0,0,26,0,0,"2,181.14",0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,3.33,0,0,0,0,14.99,0,14.99,3,17.99
FATEMA,5233-GEEAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
FATHIA,5685-IIXLY,0,0,0,0,0,199.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FATIMA,8510-TMWYB,1,39,0,0,0,52.39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,2.26,0,2.26,0.45,2.71
FATOU,1564-NTYXF,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1.5,0,1.5,0.3,1.8
FAUZI,0096-FCPUF,5,31,0,0,0,618.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
FAUZIA,6769-DYBQN,0,0,0,0,0,"9,041.34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.98,3.33,0,0,0,0,19.31,0,19.31,3.86,23.17
FAWAD,8108-UXRQN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,1.18,0,1.18,0.24,1.42
FAY,9518-IMLHK,1,35,0,0,0,9.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FAYAAZ,8740-XLHDR,0,0,0,0,0,40.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FAYE,9503-XJUME,65,231,0,0,0,"5,429.37",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,3.33,0,0,0,0,16.72,0,16.72,3.34,20.06
FAZEELAT,8510-AWCXC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
FEARGUS,8404-FYDIB,26,196,0,0,9,230.82,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.3,2.16,3.33,0,0,0,0,5.79,0,5.79,1.16,6.95
FEDERICA,8882-TLVRW,0,0,0,0,0,139.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FEDERICO,9928-BZVLZ,14,22,0,0,0,516.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
FEHAR,7233-PAHHL,20,99,0,0,0,"52,712.33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.28,3.33,0,0,0,0,47.61,0,47.61,9.52,57.13
FEI,3284-SVCRO,92,249,0,0,0,"3,021.13",0,0,10,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,11.66,3.33,0,0,0,0,15,0,15,3,18
FELICITY,9350-ZXYJC,0,0,0,0,0,67.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FELIPE,0617-FHSGK,4,172,0,0,0,19.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FELIX,6861-OKBCE,56,134,0,0,0,"6,049.16",0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,3.33,0,0,0,0,16.72,0,16.72,3.34,20.06
FEMI,3753-TSEMP,0,0,0,0,0,48.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FENELLA,5186-EJEGL,7,26,0,0,0,317.42,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,3.33,0,0,0,0,7.22,0,7.22,1.44,8.66
FENG,0820-FNRNX,0,0,0,0,0,9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,1.72,0,1.72,0.34,2.06
FENTON,7470-MCQTK,19,215,0,0,0,"3,579.54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,3.33,0,0,0,0,14.99,0,14.99,3,17.99
FERGAL,8680-CGLTP,2,4,0,0,0,45.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FERGUS,8749-JMNKX,19,28,5,26,20,"3,773.35","1,130.58",0,4,0,0,0,0,1.41,25.18,1.16,0,580,0,0,0,0,0,607.75,11.66,3.33,0,0,0,0,17.56,605.18,622.74,3.51,626.26
FERHET,2037-XJFUP,6,0,0,32,0,0,"2,556.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,3.33,25,0,0,0,39.99,0,39.99,8,47.99
FERN,5985-TBABQ,21,59,0,0,0,"5,711.46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,3.33,0,0,0,0,16.72,0,16.72,3.34,20.06
FEVEN,5201-FRKKS,1,0,0,0,0,519.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
FIAMMA,5935-FCCNB,0,0,0,0,0,"15,067.15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.98,3.33,0,0,0,0,23.31,0,23.31,4.66,27.97
FILIP,7399-QHBJS,2,4,0,0,0,"24,119.41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.38,3.33,0,0,0,0,28.71,0,28.71,5.74,34.45
FILIPE,1600-DILPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FILIPPO,5945-AZYHT,1,0,0,0,0,0,"5,146.49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,3.33,25,0,0,0,41.72,0,41.72,8.34,50.06
FINLAY,9711-FJTBX,0,0,0,0,0,440.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,3.33,0,0,0,0,7.22,0,7.22,1.44,8.66
FINN,7353-YOWFP,2,3,0,0,0,576.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
FINTAN,7599-FKVXZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,2.26,0,2.26,0.45,2.71
FIONA,2692-PFYTJ,8,23,0,0,0,944.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
FIONNTAINN,5324-KTGCG,2,13,0,0,0,"1,148.86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.33,0,0,0,0,12.83,0,12.83,2.57,15.4
FIONNUALA,6435-VWCCY,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,1.72,0,1.72,0.34,2.06
FIZZ,5781-BKHOP,2,6,0,0,0,"10,475.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.28,3.33,0,0,0,0,20.61,0,20.61,4.12,24.73
FLAVIA,7123-WQUHX,38,38,0,0,0,"57,698.69",0,0,20,0,0,10,0,0,0,0,0,0,0,0,0,0,8.85,8.85,48.33,3.33,0,0,0,0,60.51,0,60.51,12.1,72.61
FLAVIO,5133-POWUA,0,0,0,0,0,167.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FLIP,6770-XUAGN,1,4,0,0,0,87.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FLOOR,3511-BFTJW,0,0,0,0,0,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FLORA,2586-CWXVV,60,162,0,0,0,"5,814.64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,3.33,0,0,0,0,16.72,0,16.72,3.34,20.06
FLORENCE,8152-VETUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
FLORENTINA,2720-FVBQP,4,1,0,0,0,"2,295.73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,3.33,0,0,0,0,14.99,0,14.99,3,17.99
FLORIAN-LUTZ,6807-SIWJI,18,141,3,0,0,"5,875.44",0,0,1,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.3,13.39,3.33,0,0,0,0,17.02,0,17.02,3.4,20.43
FLORIS,8932-CZHRQ,0,0,0,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1.5,0,1.5,0.3,1.8
FOAAD,6457-USBER,27,0,0,85,0,0,"3,715.77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,3.33,25,0,0,0,39.99,0,39.99,8,47.99
FOLABOMI,4412-YLTKF,6,3,0,0,0,"1,401.55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.33,2.5,0,0,0,15.33,0,15.33,3.07,18.4
FOLU,6234-RAAPL,0,0,0,0,0,11.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FOTEINI,3530-VWVGU,7,45,0,0,0,"29,765.40",113.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.43,3.33,25,0,0,0,57.76,0,57.76,11.55,69.31
FOTINI,1898-JSNDC,29,72,0,0,2,"4,852.65",0,0,25,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.03,13.39,3.33,0,0,0,0,16.75,0,16.75,3.35,20.1
FOUAD,3211-ILJTT,28,111,250,0,0,320.82,0,0,0,0,0,0,0,24.96,0,0,0,0,0,0,0,0,0,24.96,3.89,3.33,0,0,0,0,32.18,0,32.18,6.44,38.61
FRAN,2592-SEIFQ,15,166,10,0,0,"2,522.57",0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,1.03,0,2.26,0,0,0,0,3.29,0,3.29,0.66,3.95
FRANCES,1834-WULEG,5,129,0,0,0,263.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,3.33,0,0,0,0,7.22,0,7.22,1.44,8.66
FRANCESCA,6598-RFFVI,8,60,0,0,0,199.41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FRANCESCO,3987-KQDDU,24,73,0,0,0,"1,194.16",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.33,0,0,0,0,12.83,0,12.83,2.57,15.4
FRANCINE,4881-GQJTW,0,0,0,0,0,11.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FRANCIS,1728-BQDMA,1,0,0,0,0,714.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
FRANCISCA,5729-KLZAR,2,1,0,0,0,126.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FRANCISCO,0973-KYVNF,0,0,0,0,0,37.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,0,0,0,0,2.36,0,2.36,0.47,2.83
FRANCOIS,0823-HSCDJ,85,102,32,0,0,"42,826.97",0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.53,3.33,0,0,0,0,40.86,0,40.86,8.17,49.03
FRANCOISE,7328-ZJAJO,46,124,0,0,0,"19,375.14",0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.68,3.33,0,0,0,0,26.01,0,26.01,5.2,31.21
FRANK,7312-XSBAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
FRANKI,2619-WFQWU,24,89,18,0,0,"13,582.21",577.35,0,0,0,0,0,0,1.76,0,0,0,0,0,0,0,0,0,1.76,18.63,3.33,15,0,0,0,38.72,0,38.72,7.74,46.46
FRANKIE,7711-GQBZC,10,0,0,113,0,0,515.87,0,0,4,4,0,0,0,0,0,0,0,0,0,0.4,0,0,0.4,6.91,3.33,25,0,0,0,35.64,0,35.64,7.13,42.77
FRASER,2511-ALLCS,6,37,0,0,0,37.34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FRAZER,3519-ZKXGG,3,0,0,8,0,0,18.37,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,2.26,0,2.26,0.45,2.71
FRED,0224-RLWWD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FREDDIE,4521-WFJAI,15,22,0,0,0,394.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,0,0,0,0,2.47,0,2.47,0.49,2.96
FREDDY,4083-BFNYK,0,0,0,0,0,36.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FREDERICK,4160-AMJTL,2,11,0,0,0,51.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FREDERIK,6490-FGZAT,0,0,0,0,0,585.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
FREDERIKA,7301-ABVAD,1,2,0,0,0,"4,997.89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39,3.33,0,0,0,0,16.72,0,16.72,3.34,20.06
FREDERIQUE,7730-CLDSV,73,143,0,0,0,"3,470.80",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,3.33,0,0,0,0,14.99,0,14.99,3,17.99
FREDRIK,7503-QQRVF,9,20,0,0,0,424.12,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,3.33,0,0,0,0,7.22,0,7.22,1.44,8.66
FREYA,9348-YVOMK,54,372,0,0,0,923.41,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,3.33,0,0,0,0,10.24,0,10.24,2.05,12.29
FRITZ,3389-YGYAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,3.33,0,3.33,0.67,4
FUNKE,5146-CBVOE,8,18,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,3.33,0,0,0,0,5.49,0,5.49,1.1,6.59
FUNMILOLA,6946-LMSQS,3,13,0,0,0,509.41,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,3.33,0,0,0,0,7.22,0,7.22,1.44,8.66
